Manufacturer,Model,Adult_Occupant,Child_Occupant
BYD,BYD F0 - NO Airbags,0.00 max. 34.00 ,12.65 max. 49.00 
Chery,Chery Tiggo 3 + 2 Airbags,0.00 max. 34.00 ,10.21 max. 49.00 
Chevrolet,Chevrolet New Aveo + 2 Airbags (from May 2019) VIN LSGHD52H1KD125807,23.76 max. 34.00 ,37.02 max. 49.00 
Chevrolet,Chevrolet New Onix Hatchback + 6 Airbags,28.90 max. 34.00 ,44.33 max. 49.00 
Chevrolet,Chevrolet New Onix Plus + 6 Airbags,28.34 max. 34.00 ,42.33 max. 49.00 
Chevrolet,Chevrolet Cruze + 6 Airbags (from 21/05/2019) VIN 8AGBB69S0LR100117,30.23 max. 34.00 ,39.83 max. 49.00 
Chevrolet,Chevrolet New Aveo + 2 Airbags,23.76 max. 34.00 ,37.02 max. 49.00 
Chevrolet,Chevrolet Cruze + 4 Airbags,30.23 max. 34.00 ,38.75 max. 49.00 
Chevrolet,Chevrolet Onix/Prisma + 2 Airbags (from 15/01/2018) VIN 9BGKS48U0JG313644,20.24 max. 34.00 ,32.59 max. 49.00 
Chevrolet,Chevrolet Aveo + 2 Airbags,17.49 max. 34.00 ,30.11 max. 49.00 
Chevrolet,Chevrolet N300 (passengers) - NO Airbags,11.92 max. 34.00 ,13.28 max. 49.00 
Chevrolet,Chevrolet Onix + 2 Airbags,0 max. 34.00 ,27.38 max. 49.00 
Chevrolet,Chevrolet Spark GT / Beat - NO Airbags,0.00 max. 34.00 ,8.78 max. 49.00 
Chevrolet,Chevrolet Sail - NO Airbags,0.00 max. 34.00 ,23.21 max. 49.00 
Fiat,Fiat Argo / Cronos + 2 Airbags,24.41 max. 34.00 ,37.47 max. 49.00 
Fiat,Fiat 500X + 6 Airbags,32.55 max. 34.00 ,43.13 max. 49.00 
Fiat,Fiat Toro + 2 Airbags,29.40 max. 34.00 ,36.90 max. 49.00 
Fiat,Fiat Mobi + 2 Airbags,19.20 max. 34.00 ,26.98 max. 49.00 
Fiat,Fiat New Palio + 2 Airbags,18.09 max. 34.00 ,31.57 max. 49.00 
Ford,Ford Ranger + 3 Airbags (From Dic 2019),30.62 max. 34.00 ,39.67 max. 49.00 
Ford,Ford Figo + 4 Airbags (from  24/08/2018) VIN MAJTKNFZ0KTT67367,24.76 max. 34.00 ,35.35 max. 49.00 
Ford,Ford KA + 2 Airbags (from 12/06/2018) VIN 9B9BFZH55U7K8206502,22.83 max. 34.00 ,35.41 max. 49.00 
Ford,Ford Ka / Figo + 2 Airbags,0.00 max. 34.00 ,33.51 max. 49.00 
Ford,Ford Ranger + 3 Airbags,30.62 max. 34.00 ,40.17 max. 49.00 
Hyundai,Hyundai HB20 Hatchback + 2 Airbags,21.97 max. 34.00 ,29.64 max. 49.00 
Hyundai,Hyundai Accent NO Airbags,0.00 max. 34.00 ,16.04 max. 49.00 
Kia,Kia New Rio Sedan + 1 Airbag,23.55 max. 34.00 ,18.27 max. 49.00 
Kia,Kia Rio Sedan - NO Airbags,0 max. 34.00 ,16.15 max. 49.00 
Kia,Kia Picanto / Morning - NO Airbags,0.00 max. 34.00 ,13.30 max. 49.00 
Mazda,Mazda 2 + 2 Airbags,28.66 max. 34.00 ,33.81 max. 49.00 
Mitsubishi,Mitsubishi Eclipse Cross + 3 Airbags,30.94 max. 34.00 ,30.00 max. 49.00 
Mitsubishi,Mitsubishi L200 - No Airbags,0.00 max. 34.00 ,20.49 max. 49.00 
Nissan,Nissan Frontier / NP300 Navara (double cabs) + 2 Airbags,28.47 max. 34.00 ,36.42 max. 49.00 
Nissan,Nissan March + 2 Airbags,20.11 max. 34.00 ,21.42 max. 49.00 
Nissan,Nissan Kicks + 2 Airbags,25.39 max. 34.00 ,37.41 max. 49.00 
Nissan,Nissan Murano + 7 Airbags (from 06/10/2017) VIN 5N1TANZ52JN100879,28.72 max. 34.00 ,34.66 max. 49.00 
Nissan,Nissan March + 2 Airbags,8.00 max. 17.00 ,10.71 max. 49.00 
Nissan,Nissan Versa + 2 Airbags,8.64 max. 17.00 ,18.22 max. 49.00 
Nissan,Nissan Murano + 7 Airbags,22.81 max. 34.00 ,35.22 max. 49.00 
Peugeot,Peugeot 301 + 4 Airbags,23.26 max. 34.00 ,34.10 max. 49.00 
Peugeot,Peugeot 208 + 2 Airbags,18.27 max. 34.00 ,30.65 max. 49.00 
Renault,Renault Sandero / Logan / Stepway + 4 Airbags **,23.40 max. 34.00 ,38.52 max. 49.00 
Renault,Renault Sandero / Logan / Stepway + 4 Airbags *,23.28 max. 34.00 ,38.52 max. 49.00 
Renault,Renault New Duster + 2 Airbags,26.01 max. 34.00 ,28.50 max. 49.00 
Renault,Renault Kangoo + 2 Airbags,21.56 max. 34.00 ,38.02 max. 49.00 
Renault,Renault Sandero / Logan + 2 Airbags,18.01 max. 34.00 ,28.97 max. 49.00 
Renault,Renault Kwid + 4 Airbags,22.85 max. 34.00 ,33.87 max. 49.00 
Renault,Renault Captur + 4 Airbags,30.27 max. 34.00 ,33.68 max. 49.00 
Seat,Seat Tarraco + 7 Airbags,32.35 max. 34.00 ,42.73 max. 49.00 
